Kode Cabang Induk;Cabang Induk;NAMA PERUSAHAAN;JENIS PIPELINE;ESTIMASI PEKERJA
337;KC Bandung Naripan;BABINMINVETCADDAM III/SLW;Pipeline konsumer;320
337;KC Bandung Naripan;BALAI BESAR STANDARDISASI DAN PELAYANAN JASA INDUSTRI KERAMIK DAN MINERAL NONLOGAM (BALAI BESAR KERAMIK) BBSPJI (ayani);Pipeline konsumer;70
337;KC Bandung Naripan;BALAI BESAR STANDARDISASI DAN PELAYANAN JASA INDUSTRI TEKSTIL (BBSPJI Tekstil) (ayani);Pipeline konsumer;80
337;KC Bandung Naripan;BALAI BESAR SURVEI DAN PEMETAAN GEOLOGI KELAUTAN (BBSPGL) (cicendo);Pipeline konsumer;108
337;KC Bandung Naripan;BALAI PELAKSANA PEMILIHAN JASA KONSTRUKSI WILAYAH JAWA BARAT (BP2JK);Pipeline konsumer;47
337;KC Bandung Naripan;BALAI PELAKSANA PENYEDIAAN PERUMAHAN DAN KAWASAN PERMUKIMAN JAWA II;Pipeline konsumer;56
337;KC Bandung Naripan;BALAI PENGELOLAAN STANDAR UKURAN METROLOGI LEGAL;Pipeline konsumer;56
337;KC Bandung Naripan;BALAI PENGEMBANGAN KOMPETENSI PEKERJAAN UMUM WILAYAH IV BANDUNG;Pipeline konsumer;56
337;KC Bandung Naripan;BEKANGDAM III/SLW;Pipeline konsumer;580
337;KC Bandung Naripan;BPK Pasundan;Pipeline konsumer;60
337;KC Bandung Naripan;BPPW Jabar, DJCK - Kementerian Pekerjaan Umum (PUPR);Pipeline konsumer;200
337;KC Bandung Naripan;DINAS PENANAMAN MODAL DAN PELAYANAN TERPADU SATU PINTU ( DPMPTSP ) PROVINSI JAWA BARAT;Pipeline konsumer;105
337;KC Bandung Naripan;Eastern Group;Pipeline konsumer;500
337;KC Bandung Naripan;HUBDAM III/SLW;Pipeline konsumer;363
337;KC Bandung Naripan;KANTOR PELAYANAN PAJAK MADYA BANDUNG;Pipeline konsumer;66
337;KC Bandung Naripan;KANTOR PELAYANAN PAJAK PRATAMA BANDUNG BOJONAGARA;Pipeline konsumer;66
337;KC Bandung Naripan;KANTOR PELAYANAN PAJAK PRATAMA BANDUNG CIBEUNYING;Pipeline konsumer;59
337;KC Bandung Naripan;KANTOR PELAYANAN PAJAK PRATAMA BANDUNG CICADAS;Pipeline konsumer;76
337;KC Bandung Naripan;KANTOR PELAYANAN PAJAK PRATAMA BANDUNG TEGALEGA;Pipeline konsumer;70
337;KC Bandung Naripan;KANTOR WILAYAH DJP JAWA BARAT I;Pipeline konsumer;56
337;KC Bandung Naripan;KESDAM III/SLW;Pipeline konsumer;558
337;KC Bandung Naripan;P3K SARININGSIH;Pipeline konsumer;28
337;KC Bandung Naripan;PALDAM III/SLW;Pipeline konsumer;435
337;KC Bandung Naripan;PENGADILAN NEGERI BANDUNG;Pipeline konsumer;125
337;KC Bandung Naripan;Pengadilan Negeri Bandung (P3K);Pipeline konsumer;25
337;KC Bandung Naripan;Pertamina Gedebage;Pipeline konsumer;200
337;KC Bandung Naripan;Pertamina Padalarang;Pipeline konsumer;200
337;KC Bandung Naripan;PT Great Eastern Life Indonesia;Pipeline konsumer;500
337;KC Bandung Naripan;PT Noovoleum Indonesia Investama;Pipeline konsumer;100
337;KC Bandung Naripan;PT Supra Internasional Indonesia;Pipeline konsumer;100
337;KC Bandung Naripan;PT. Adhi Karya Persero, Tbk;Pipeline konsumer;350
337;KC Bandung Naripan;PUSAT PENGEMBANGAN KOMPETENSI BINA MARGA, PEMBIAYAAN INFRASTRUKTUR DAN PENGEMBANGAN INFRASTRUKTUR WILAYAH;Pipeline konsumer;35
337;KC Bandung Naripan;PUSAT PENGEMBANGAN KOMPETENSI SUMBER DAYA AIR, CIPTA KARYA DAN PRASARANA STRATEGIS;Pipeline konsumer;43
337;KC Bandung Naripan;PUSAT SUMBER DAYA MINERAL, BATUBARA, DAN PANAS BUMI;Pipeline konsumer;120
337;KC Bandung Naripan;RUMKIT TK. IV 03.07.01 KENCANA SERANG KESDAM III/SLW;Pipeline konsumer;51
337;KC Bandung Naripan;RUMKIT TK. IV 03.07.03 SARININGSIH BANDUNG KESDAM III/SLW;Pipeline konsumer;80
337;KC Bandung Naripan;SATUAN POLISI PAMONG PRAJA PROVINSI JAWA BARAT;Pipeline konsumer;110
337;KC Bandung Naripan;Saung Udjo;Pipeline konsumer;82
337;KC Bandung Naripan;SEKRETARIAT BAWASLU PROVINSI JAWA BARAT;Pipeline konsumer;50
337;KC Bandung Naripan;ZIDAM III/SLW;Pipeline konsumer;279
408;KC Bandung Setiabudi;Balai Besar Pengembangan Dan Perluasan Kerja (BBPPK);Pipeline konsumer;150
408;KC Bandung Setiabudi;BALAI INSEMINASI BUATAN LEMBANG;Pipeline konsumer;62
408;KC Bandung Setiabudi;BALAI PELATIHAN VOKASI DAN PRODUKTIVITAS BANDUNG BARAT (BPVP);Pipeline konsumer;35
408;KC Bandung Setiabudi;BALAI PENGUJIAN ALAT UKUR, ALAT TAKAR, ALAT TIMBANG, DAN ALAT PERLENGKAPAN;Pipeline konsumer;70
408;KC Bandung Setiabudi;Balai Standar Teknologi Pertanian;Pipeline konsumer;70
408;KC Bandung Setiabudi;BMKG;Pipeline konsumer;95
408;KC Bandung Setiabudi;DIREKTORAT METROLOGI;Pipeline konsumer;101
408;KC Bandung Setiabudi;Elcavana Hotel;Pipeline konsumer;265
408;KC Bandung Setiabudi;Hotel Kedaton;Pipeline konsumer;200
408;KC Bandung Setiabudi;Hotel Voco;Pipeline konsumer;100
408;KC Bandung Setiabudi;Lavie Baby House;Pipeline konsumer;130
408;KC Bandung Setiabudi;Pasopati Squareguard;Pipeline konsumer;800
408;KC Bandung Setiabudi;PLASA TELKOM SETIABUDHI BANDUNG;Pipeline konsumer;20
408;KC Bandung Setiabudi;RUMAH SAKIT PARU DR. H.A. ROTINSULU BANDUNG;Pipeline konsumer;343
408;KC Bandung Setiabudi;The Gaia Hotel Bandung (uda);Pipeline konsumer;300
408;KC Bandung Setiabudi;Universitas Advent Indonesia;Pipeline konsumer;200
408;KC Bandung Setiabudi;Universitas Kristen Maranatha;Pipeline konsumer;500
408;KC Bandung Setiabudi;SPN POLDA JABAR;Pipeline Top 100;200
408;KC Bandung Setiabudi;PT Brilian Maju Jaya;Pipeline Top 100;300
408;KC Bandung Setiabudi;Karang Setra Hotel;Pipeline Top 100;100
408;KC Bandung Setiabudi;deraraysae;Pipeline Top 100;50
407;KC Bandung Sukarno Hatta;BADAN NARKOTIKA NASIONAL PROVINSI JAWA BARAT;Pipeline konsumer;221
407;KC Bandung Sukarno Hatta;BALAI BESAR PELAKSANAAN JALAN NASIONAL DKI JAKARTA - JAWA BARAT;Pipeline konsumer;66
407;KC Bandung Sukarno Hatta;BALAI BESAR STANDARDISASI DAN PELAYANAN JASA INDUSTRI SELULOSA (BBSPJIS) pulp dan paper;Pipeline konsumer;90
407;KC Bandung Sukarno Hatta;BALAI JALAN NASIONAL WILAYAH IV PROVINSI JAWA BARAT;Pipeline konsumer;55
407;KC Bandung Sukarno Hatta;BALAI KEKARANTINAAN KESEHATAN KELAS I BANDUNG;Pipeline konsumer;123
407;KC Bandung Sukarno Hatta;BALAI PEMASYARAKATAN BANDUNG;Pipeline konsumer;91
407;KC Bandung Sukarno Hatta;BALAI PERKERASAN DAN LINGKUNGAN JALAN (BPLJ);Pipeline konsumer;55
407;KC Bandung Sukarno Hatta;BALAI PRASARANA STRATEGIS JAWA BARAT;Pipeline konsumer;43
407;KC Bandung Sukarno Hatta;Edelweiss Hospital;Pipeline konsumer;480
407;KC Bandung Sukarno Hatta;HM Sampoerna;Pipeline konsumer;600
407;KC Bandung Sukarno Hatta;Kalbe Farma Group;Pipeline konsumer;400
407;KC Bandung Sukarno Hatta;Kantor Agraria dan Pertanahan (ATR / BPN) Kota Bandung;Pipeline konsumer;150
407;KC Bandung Sukarno Hatta;KANTOR PERTANAHAN KOTA BANDUNG;Pipeline konsumer;54
407;KC Bandung Sukarno Hatta;KANTOR WILAYAH BADAN PERTANAHAN NASIONAL PROP. JAWA BARAT;Pipeline konsumer;85
407;KC Bandung Sukarno Hatta;LEMBAGA PEMASYARAKATAN NARKOTIKA BANDUNG;Pipeline konsumer;124
407;KC Bandung Sukarno Hatta;P3K BARANTIN;Pipeline konsumer;3
407;KC Bandung Sukarno Hatta;PELAKSANAAN CIPTA KARYA WILAYAH I PROVINSI JAWA BARAT;Pipeline konsumer;45
407;KC Bandung Sukarno Hatta;PERUMAHAN DAN KAWASAN PERMUKIMAN PROVINSI JAWA BARAT (Disperkim);Pipeline konsumer;86
407;KC Bandung Sukarno Hatta;PT Daya Anugrah Mandiri;Pipeline konsumer;450
407;KC Bandung Sukarno Hatta;PT JAMINAN KREDIT INDONESIA (JAMKRINDO);Pipeline konsumer;25
407;KC Bandung Sukarno Hatta;PT PLN (PERSERO)UIP JBT (Unit Induk Pembangunan) -KARAWITAN;Pipeline konsumer;76
407;KC Bandung Sukarno Hatta;PT Semen Indonesia Beton (Persero) Tbk;Pipeline konsumer;400
407;KC Bandung Sukarno Hatta;PT ENSEVAL PUTERA MEGATRADING;Pipeline konsumer;100
407;KC Bandung Sukarno Hatta;PT. Pindad (Persero);Pipeline konsumer;900
407;KC Bandung Sukarno Hatta;PUSAT PENGEMBANGAN SUMBER DAYA MANUSIA GEOLOGI, MINERAL DAN BATUBARA;Pipeline konsumer;130
407;KC Bandung Sukarno Hatta;RUMAH SAKIT MATA CICENDO BANDUNG;Pipeline konsumer;369
407;KC Bandung Sukarno Hatta;RUMAH TAHANAN NEGARA BANDUNG;Pipeline konsumer;143
407;KC Bandung Sukarno Hatta;Sucofindo PT (Persero);Pipeline konsumer;200
407;KC Bandung Sukarno Hatta;Suwarna;Pipeline konsumer;141
407;KC Bandung Sukarno Hatta;Taka Turbomachinery Indonesia;Pipeline konsumer;100
407;KC Bandung Sukarno Hatta;PT Insta Solution Group;Pipeline Top 100;100
407;KC Bandung Sukarno Hatta;Sukavillage;Pipeline Top 100;50
407;KC Bandung Sukarno Hatta;Terracorp;Pipeline Top 100;100
407;KC Bandung Sukarno Hatta;La Basil;Pipeline Top 100;13
407;KC Bandung Sukarno Hatta;Terai Coffeatery;Pipeline Top 100;20
162;KC Banjar;BADAN PUSAT STATISTIK KOTA BANJAR;Pipeline konsumer;17
162;KC Banjar;Balai Perikanan dan Pertanian;Pipeline konsumer;100
162;KC Banjar;Distributor Wings;Pipeline konsumer;500
162;KC Banjar;KANTOR PERTANAHAN KOTA BANJAR;Pipeline konsumer;10
162;KC Banjar;Lapas Kelas IIB Banjar;Pipeline konsumer;74
162;KC Banjar;MADRASAH TSANAWIYAH NEGERI 14 TASIKMALAYA;Pipeline konsumer;19
162;KC Banjar;MADRASAH TSANAWIYAH NEGERI 2 BANJAR KOTA BANJAR;Pipeline konsumer;22
162;KC Banjar;MADRASAH TSANAWIYAH NEGERI 3 KOTA BANJAR;Pipeline konsumer;22
162;KC Banjar;P3K PA BANJAR;Pipeline konsumer;14
162;KC Banjar;P3K PN BANJAR;Pipeline konsumer;15
162;KC Banjar;Pelindo Terminal Peti Kemas;Pipeline konsumer;85
162;KC Banjar;PENGADILAN AGAMA KOTA BANJAR;Pipeline konsumer;21
162;KC Banjar;PENGADILAN NEGERI BANJAR;Pipeline konsumer;22
162;KC Banjar;PLN;Pipeline konsumer;0
162;KC Banjar;SNVT PELAKSANAAN JARINGAN SUMBER AIR CITANDUY;Pipeline konsumer;25
162;KC Banjar;SNVT PEMBANGUNAN BENDUNGAN BBWS CITANDUY;Pipeline konsumer;47
162;KC Banjar;BPS;Pipeline konsumer;15
162;KC Banjar;KANTOR KEMENTERIAN AGAMA KAB.PANGANDARAN;Pipeline konsumer;272
162;KC Banjar;Kementrian Kelautan dan Perikanan;Pipeline konsumer;30
162;KC Banjar;MADRASAH ALIYAH NEGERI 1 PANGANDARAN KAB. PANGANDARAN;Pipeline konsumer;35
162;KC Banjar;MADRASAH ALIYAH NEGERI 2 PANGANDARAN KAB. PANGANDARAN;Pipeline konsumer;28
